question_id,attempt_id,correct,input_tokens,output_tokens,reasoning_tokens,earned
30138_663,0,False,918652,10425,0,0.0
30166_402,0,True,244703,4411,0,500.0
30195_650,0,True,2005416,19022,0,500.0
32236_652,0,False,2315584,27509,0,0.0
37656_955,0,True,2674786,19666,0,500.0
37688_441,0,False,2201916,23357,0,0.0
37766_765,0,True,1161783,14633,0,500.0
38076_981,0,True,1806353,12293,0,500.0
38087_1083,0,True,2313334,22402,0,500.0
38130_971,0,False,749031,11155,0,0.0
38147_954,0,True,1009639,10338,0,500.0
38163_970,0,True,2690825,21792,0,500.0
39614_1101,0,True,1935368,8558,0,250.0
39848_1045,0,False,2039963,23308,0,0.0
39904_611,0,True,1372472,17920,0,250.0
39909_632,0,False,1304815,13371,0,0.0
39947_987,0,True,734237,17832,0,500.0
40208_1108,0,False,1287098,24894,0,0.0
40250_1042,0,False,549919,9922,0,0.0
40259_1089,0,False,1059811,17641,0,0.0
41183_948,0,True,3595278,24178,0,250.0
41301_714,0,True,449679,6223,0,250.0
41523_814,0,False,1531065,14721,0,0.0
41529_679,0,False,1886856,15038,0,0.0
41610_578,0,True,1544340,14320,0,250.0
41613_529,0,True,1388466,21288,0,250.0
41771_458,0,True,924227,14022,0,250.0
41783_613,0,True,1210524,13207,0,250.0
41885_1134,0,False,2629831,11958,0,0.0
41925_887,0,True,2086595,11153,0,250.0
42007_1137,0,False,2344505,16081,0,0.0
42153_910,0,False,1520356,14870,0,0.0
42194_994,0,False,1685412,11525,0,0.0
42204_388,0,True,2312897,19294,0,250.0
42220_883,0,False,2730863,29556,0,0.0
42284_635,0,False,842547,19021,0,0.0
42525_1141,0,True,1068692,14278,0,250.0
42530_621,0,True,2268735,21521,0,250.0
42556_686,0,True,287213,5055,0,250.0
42841_583,0,False,1728131,10092,0,0.0
42924_398,0,False,1007964,11864,0,0.0
42934_932,0,False,807774,11300,0,0.0
43022_1084,0,True,1445395,11836,0,250.0
43094_678,0,False,597831,6320,0,0.0
43097_989,0,False,3376628,10347,0,0.0
43120_1093,0,True,653877,12545,0,250.0
43126_1046,0,False,913947,16142,0,0.0
43196_567,0,False,722515,11161,0,0.0
4324,0,False,428528,5208,0,0.0
43395_530,0,False,340088,4667,0,0.0
43623_571,0,False,1550921,15215,0,0.0
43726_1012,0,True,1973963,14904,0,500.0
44040_470,0,False,1445594,9383,0,0.0
44146_1028,0,True,841044,16840,0,250.0
44152_1098,0,False,1582048,20013,0,0.0
44165_1022,0,False,3205672,21247,0,0.0
44210_1020,0,True,1155727,12734,0,250.0
44213_1005,0,False,552350,11571,0,0.0
44235_908,0,False,1206605,10624,0,0.0
44259_997,0,False,162199,3442,0,0.0
44336_1047,0,True,1803667,16655,0,250.0
44429_1100,0,False,1557570,13038,0,0.0
44509_397,0,True,682666,10770,0,250.0
44618_1007,0,False,2034709,12676,0,0.0
44728_421,0,False,658609,8321,0,0.0
44804_694,0,False,2205124,19479,0,0.0
45190_520,0,False,1574388,17712,0,0.0
45479_400,0,False,902171,10218,0,0.0
45523_892,0,False,1503418,9127,0,0.0
45543_1016,0,True,1967962,16955,0,250.0
45633_1114,0,True,767823,18699,0,250.0
45882_428,0,False,881963,13821,0,0.0
45887_1128,0,False,3053694,27566,0,0.0
45941_1113,0,False,1490059,23608,0,0.0
45990_993,0,True,1708386,16871,0,250.0
46053_566,0,True,3079839,16294,0,250.0
46344_753,0,False,307451,9392,0,0.0
46371_1127,0,False,1022545,12764,0,0.0
46374_1086,0,True,900827,16739,0,250.0
46383_999,0,False,1455318,21534,0,0.0
46528_995,0,False,361630,4877,0,0.0
46768_1053,0,True,770117,11881,0,250.0
47050_1025,0,False,1206305,13262,0,0.0
47282_643,0,True,1675126,20821,0,250.0
48631_667,0,True,2836822,26544,0,250.0
48694_681,0,True,1473793,18757,0,250.0
49062_1071,0,True,739653,8361,0,250.0
49077_549,0,False,1414711,11965,0,0.0
49260_543,0,False,929039,8234,0,0.0
49266_463,0,True,1068598,11637,0,250.0
49298_510,0,True,498017,6447,0,250.0
49337_950,0,True,1745784,17832,0,250.0
49492_670,0,False,2394913,17652,0,0.0
49523_849,0,True,1064183,13883,0,250.0
49543_647,0,True,712684,10107,0,250.0
49840_659,0,False,227137,5628,0,0.0
49991_619,0,True,2854216,26190,0,250.0
50064_846,0,False,3408882,25231,0,0.0
50163_1076,0,True,568523,7162,0,125.0
50236_738,0,False,1550340,12726,0,0.0
50311_877,0,True,2984142,18432,0,250.0
50314_790,0,False,1329709,8176,0,0.0
50357_1124,0,True,1143449,13823,0,250.0
50465_959,0,False,608205,7007,0,0.0
50577_1094,0,False,924487,11278,0,0.0
6883,0,False,204900,4720,0,0.0
